javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
App.java,com.poupa.vinylmusicplayer.App,6,6,18,5,0,6,5,0.800000000000000,56,0.750000000000000,1,0.000000000000000,0.400000000000000,0,0,7.666700000000000,true
AlbumCoverPagerAdapter.java,com.poupa.vinylmusicplayer.adapter.AlbumCoverPagerAdapter$AlbumCoverFragment$1,2,3,4,0,0,3,1,0.000000000000000,15,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,6.000000000000000,true
AlbumCoverPagerAdapter.java,com.poupa.vinylmusicplayer.adapter.AlbumCoverPagerAdapter$AlbumCoverFragment$ColorReceiver,1,0,1,0,0,0,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,true
AlbumCoverPagerAdapter.java,com.poupa.vinylmusicplayer.adapter.AlbumCoverPagerAdapter$AlbumCoverFragment,10,21,32,31,0,21,7,0.809500000000000,137,0.857100000000000,0,0.000000000000000,0.222200000000000,0,0,12.000000000000000,true
AlbumCoverPagerAdapter.java,com.poupa.vinylmusicplayer.adapter.AlbumCoverPagerAdapter,5,7,13,0,0,7,5,0.583300000000000,77,1.000000000000000,0,0.000000000000000,0.400000000000000,0,0,13.800000000000000,true
CategoryInfoAdapter.java,com.poupa.vinylmusicplayer.adapter.CategoryInfoAdapter$ViewHolder,1,4,3,0,0,4,1,2.000000000000000,25,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,21.000000000000000,false
GenreAdapter.java,com.poupa.vinylmusicplayer.adapter.GenreAdapter$ViewHolder,2,8,8,0,0,8,2,0.000000000000000,24,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,10.500000000000000,true
GenreAdapter.java,com.poupa.vinylmusicplayer.adapter.GenreAdapter,12,13,25,0,0,13,10,0.409100000000000,156,1.000000000000000,0,0.000000000000000,0.260400000000000,0,0,11.833300000000000,true
MusicLibraryPagerAdapter.java,com.poupa.vinylmusicplayer.adapter.MusicLibraryPagerAdapter$1,0,0,0,0,0,0,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,false
MusicLibraryPagerAdapter.java,com.poupa.vinylmusicplayer.adapter.MusicLibraryPagerAdapter$Holder,2,2,3,1,0,2,0,2.000000000000000,11,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,3.000000000000000,false
MusicLibraryPagerAdapter.java,com.poupa.vinylmusicplayer.adapter.MusicLibraryPagerAdapter$MusicFragments$All,2,1,4,1,0,1,0,1.000000000000000,9,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,false
MusicLibraryPagerAdapter.java,com.poupa.vinylmusicplayer.adapter.MusicLibraryPagerAdapter$MusicFragments,6,2,15,7,0,2,4,0.885700000000000,129,0.285700000000000,6,0.000000000000000,0.350000000000000,0,0,19.333300000000000,false
MusicLibraryPagerAdapter.java,com.poupa.vinylmusicplayer.adapter.MusicLibraryPagerAdapter,11,14,51,0,0,14,10,0.400000000000000,286,1.000000000000000,0,0.000000000000000,0.311700000000000,0,0,24.727300000000000,false
PlaylistAdapter.java,com.poupa.vinylmusicplayer.adapter.PlaylistAdapter$1,5,7,8,6,0,7,0,0.500000000000000,40,0.000000000000000,0,0.000000000000000,0.314300000000000,0,0,6.600000000000000,true
PlaylistAdapter.java,com.poupa.vinylmusicplayer.adapter.PlaylistAdapter$SavePlaylistsAsyncTask,5,6,21,10,0,6,1,2.000000000000000,105,0.000000000000000,0,0.000000000000000,0.333300000000000,0,0,20.000000000000000,true
PlaylistAdapter.java,com.poupa.vinylmusicplayer.adapter.PlaylistAdapter,21,27,61,134,0,27,10,0.825000000000000,341,1.000000000000000,0,0.000000000000000,0.168500000000000,0,0,15.047600000000000,true
SearchAdapter.java,com.poupa.vinylmusicplayer.adapter.SearchAdapter$ViewHolder$1,3,6,9,0,0,6,2,0.500000000000000,41,0.000000000000000,0,0.000000000000000,0.466700000000000,0,0,12.000000000000000,true
SearchAdapter.java,com.poupa.vinylmusicplayer.adapter.SearchAdapter$ViewHolder,5,26,42,0,0,26,4,0.000000000000000,219,0.000000000000000,0,0.000000000000000,0.333300000000000,0,0,42.600000000000000,true
SearchAdapter.java,com.poupa.vinylmusicplayer.adapter.SearchAdapter,10,25,40,5,0,25,8,0.870400000000000,232,1.000000000000000,0,0.000000000000000,0.275000000000000,0,0,21.600000000000000,true
SongFileAdapter.java,com.poupa.vinylmusicplayer.adapter.SongFileAdapter$Callbacks,3,2,3,3,0,2,3,2.000000000000000,3,0.000000000000000,0,0.000000000000000,0.533300000000000,0,0,0.000000000000000,true
SongFileAdapter.java,com.poupa.vinylmusicplayer.adapter.SongFileAdapter,25,34,77,210,0,34,11,0.866700000000000,372,1.000000000000000,0,0.000000000000000,0.141300000000000,0,0,13.680000000000000,true
AlbumAdapter.java,com.poupa.vinylmusicplayer.adapter.album.AlbumAdapter$1,3,5,7,0,0,5,2,0.000000000000000,45,0.000000000000000,0,0.000000000000000,0.444400000000000,0,0,13.333300000000000,true
AlbumAdapter.java,com.poupa.vinylmusicplayer.adapter.album.AlbumAdapter$ViewHolder,5,20,29,0,0,20,5,0.000000000000000,129,0.000000000000000,0,0.000000000000000,0.433300000000000,0,0,24.600000000000000,true
AlbumAdapter.java,com.poupa.vinylmusicplayer.adapter.album.AlbumAdapter,24,35,77,188,0,35,11,0.782600000000000,342,1.000000000000000,0,0.000000000000000,0.166700000000000,0,0,13.083300000000000,true
HorizontalAlbumAdapter.java,com.poupa.vinylmusicplayer.adapter.album.HorizontalAlbumAdapter$1,3,5,7,0,0,5,2,0.000000000000000,45,0.000000000000000,0,0.000000000000000,0.444400000000000,0,0,13.333300000000000,true
HorizontalAlbumAdapter.java,com.poupa.vinylmusicplayer.adapter.album.HorizontalAlbumAdapter,7,34,35,15,0,34,4,2.000000000000000,118,0.000000000000000,0,0.000000000000000,0.333300000000000,0,0,15.857100000000000,true
ArtistAdapter.java,com.poupa.vinylmusicplayer.adapter.artist.ArtistAdapter$1,3,5,7,0,0,5,2,0.000000000000000,45,0.000000000000000,0,0.000000000000000,0.444400000000000,0,0,13.333300000000000,true
ArtistAdapter.java,com.poupa.vinylmusicplayer.adapter.artist.ArtistAdapter$ViewHolder,4,19,28,0,0,19,4,0.000000000000000,115,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,27.500000000000000,true
ArtistAdapter.java,com.poupa.vinylmusicplayer.adapter.artist.ArtistAdapter,23,34,74,167,0,34,11,0.772700000000000,332,1.000000000000000,0,0.000000000000000,0.170800000000000,0,0,13.260900000000000,true
AbsMultiSelectAdapter.java,com.poupa.vinylmusicplayer.adapter.base.AbsMultiSelectAdapter,15,10,37,41,0,10,5,0.666700000000000,230,1.000000000000000,0,0.000000000000000,0.222200000000000,0,0,13.933300000000000,true
MediaEntryViewHolder.java,com.poupa.vinylmusicplayer.adapter.base.MediaEntryViewHolder,11,21,22,0,0,21,10,0.400000000000000,431,0.000000000000000,0,0.000000000000000,0.190900000000000,0,0,37.090900000000000,true
AbsOffsetSongAdapter.java,com.poupa.vinylmusicplayer.adapter.song.AbsOffsetSongAdapter$ViewHolder,6,12,18,0,0,12,5,0.000000000000000,90,0.000000000000000,0,0.000000000000000,0.388900000000000,0,0,13.833300000000000,true
AbsOffsetSongAdapter.java,com.poupa.vinylmusicplayer.adapter.song.AbsOffsetSongAdapter,16,13,28,120,0,13,8,1.066700000000000,135,1.000000000000000,0,0.000000000000000,0.221600000000000,0,0,7.312500000000000,true
AlbumSongAdapter.java,com.poupa.vinylmusicplayer.adapter.song.AlbumSongAdapter,4,9,12,6,0,9,3,2.000000000000000,58,0.000000000000000,0,0.000000000000000,0.361100000000000,0,0,13.500000000000000,true
ArtistSongAdapter.java,com.poupa.vinylmusicplayer.adapter.song.ArtistSongAdapter$1,3,10,11,0,0,10,2,0.333300000000000,55,0.000000000000000,0,0.000000000000000,0.444400000000000,0,0,16.333300000000000,true
OrderablePlaylistSongAdapter.java,com.poupa.vinylmusicplayer.adapter.song.OrderablePlaylistSongAdapter$OnMoveItemListener,1,0,1,0,0,0,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,true
OrderablePlaylistSongAdapter.java,com.poupa.vinylmusicplayer.adapter.song.OrderablePlaylistSongAdapter$ViewHolder,6,17,18,7,0,17,4,0.700000000000000,70,0.500000000000000,0,0.000000000000000,0.333300000000000,0,0,10.333300000000000,true
OrderablePlaylistSongAdapter.java,com.poupa.vinylmusicplayer.adapter.song.OrderablePlaylistSongAdapter,14,19,29,77,0,19,10,0.692300000000000,151,1.000000000000000,0,0.000000000000000,0.203300000000000,0,0,9.714300000000000,true
PlayingQueueAdapter.java,com.poupa.vinylmusicplayer.adapter.song.PlayingQueueAdapter$SwipedResultActionRemoveItem,3,7,10,1,0,7,1,0.500000000000000,45,1.000000000000000,0,0.000000000000000,0.500000000000000,0,0,13.000000000000000,true
PlayingQueueAdapter.java,com.poupa.vinylmusicplayer.adapter.song.PlayingQueueAdapter$ViewHolder,7,9,13,17,0,9,5,0.833300000000000,52,0.500000000000000,0,0.000000000000000,0.309500000000000,0,0,6.142900000000000,true
PlaylistSongAdapter.java,com.poupa.vinylmusicplayer.adapter.song.PlaylistSongAdapter$ViewHolder,4,12,13,0,0,12,2,0.333300000000000,62,0.000000000000000,0,0.000000000000000,0.450000000000000,0,0,14.250000000000000,true
PlaylistSongAdapter.java,com.poupa.vinylmusicplayer.adapter.song.PlaylistSongAdapter,5,15,22,10,0,15,3,2.000000000000000,125,0.000000000000000,0,0.000000000000000,0.300000000000000,0,0,24.000000000000000,true
ShuffleButtonSongAdapter.java,com.poupa.vinylmusicplayer.adapter.song.ShuffleButtonSongAdapter$ViewHolder,4,8,10,0,0,8,4,0.000000000000000,42,0.000000000000000,0,0.000000000000000,0.458300000000000,0,0,9.250000000000000,true
ShuffleButtonSongAdapter.java,com.poupa.vinylmusicplayer.adapter.song.ShuffleButtonSongAdapter,6,16,26,15,0,16,3,2.000000000000000,129,0.000000000000000,0,0.000000000000000,0.272700000000000,0,0,20.500000000000000,true
SongAdapter.java,com.poupa.vinylmusicplayer.adapter.song.SongAdapter$ViewHolder$1,4,5,9,0,0,5,3,0.000000000000000,33,0.000000000000000,0,0.000000000000000,0.437500000000000,0,0,7.000000000000000,true
SongAdapter.java,com.poupa.vinylmusicplayer.adapter.song.SongAdapter,28,29,65,296,0,29,16,0.857100000000000,328,0.857100000000000,0,0.000000000000000,0.136600000000000,0,0,10.464300000000000,true
AppShortcutIconGenerator.java,com.poupa.vinylmusicplayer.appshortcuts.AppShortcutIconGenerator,5,13,20,10,0,13,2,2.000000000000000,93,0.000000000000000,0,0.000000000000000,0.600000000000000,0,0,17.600000000000000,false
AppShortcutLauncherActivity.java,com.poupa.vinylmusicplayer.appshortcuts.AppShortcutLauncherActivity,3,14,24,3,0,14,2,1.500000000000000,98,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,30.000000000000000,true
DynamicShortcutManager.java,com.poupa.vinylmusicplayer.appshortcuts.DynamicShortcutManager,6,9,26,7,0,9,6,0.500000000000000,93,1.000000000000000,0,0.000000000000000,0.366700000000000,0,0,14.166700000000000,false
BaseShortcutType.java,com.poupa.vinylmusicplayer.appshortcuts.shortcuttype.BaseShortcutType,4,4,10,4,0,4,2,1.000000000000000,39,0.000000000000000,0,0.000000000000000,0.416700000000000,0,0,8.250000000000000,false
LastAddedShortcutType.java,com.poupa.vinylmusicplayer.appshortcuts.shortcuttype.LastAddedShortcutType,3,7,13,3,0,7,3,2.000000000000000,36,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,11.000000000000000,false
ShuffleAllShortcutType.java,com.poupa.vinylmusicplayer.appshortcuts.shortcuttype.ShuffleAllShortcutType,3,7,13,3,0,7,3,2.000000000000000,36,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,11.000000000000000,false
TopTracksShortcutType.java,com.poupa.vinylmusicplayer.appshortcuts.shortcuttype.TopTracksShortcutType,3,7,13,3,0,7,3,2.000000000000000,36,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,11.000000000000000,false
AppWidgetBig.java,com.poupa.vinylmusicplayer.appwidgets.AppWidgetBig$1,5,7,11,8,0,7,3,0.000000000000000,59,0.000000000000000,0,0.000000000000000,0.333300000000000,0,0,10.200000000000000,true
AppWidgetCard.java,com.poupa.vinylmusicplayer.appwidgets.AppWidgetCard,7,5,17,21,0,5,7,1.083300000000000,57,0.500000000000000,1,0.000000000000000,0.476200000000000,0,0,6.857100000000000,false
AppWidgetClassic.java,com.poupa.vinylmusicplayer.appwidgets.AppWidgetClassic,7,5,16,21,0,5,7,1.083300000000000,54,0.500000000000000,1,0.000000000000000,0.476200000000000,0,0,6.428600000000000,true
AppWidgetSmall.java,com.poupa.vinylmusicplayer.appwidgets.AppWidgetSmall,7,8,20,21,0,8,7,1.083300000000000,86,0.500000000000000,1,0.000000000000000,0.476200000000000,0,0,11.000000000000000,true
BootReceiver.java,com.poupa.vinylmusicplayer.appwidgets.BootReceiver,2,6,8,1,0,6,2,2.000000000000000,58,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,28.000000000000000,true
BaseAppWidget.java,com.poupa.vinylmusicplayer.appwidgets.base.BaseAppWidget$1$1,5,14,22,0,0,14,3,0.000000000000000,158,0.000000000000000,0,0.000000000000000,0.333300000000000,0,0,30.200000000000000,true
BaseAppWidget.java,com.poupa.vinylmusicplayer.appwidgets.base.BaseAppWidget$1,2,12,16,0,0,12,1,0.250000000000000,69,0.000000000000000,0,0.000000000000000,0.600000000000000,0,0,31.500000000000000,true
BaseAppWidget.java,com.poupa.vinylmusicplayer.appwidgets.base.BaseAppWidget,21,31,82,180,0,31,8,0.933300000000000,637,0.666700000000000,0,0.000000000000000,0.170100000000000,0,0,29.190500000000000,true
AutoMediaIDHelper.java,com.poupa.vinylmusicplayer.auto.AutoMediaIDHelper,5,0,15,10,0,0,4,1.250000000000000,123,0.153800000000000,0,0.000000000000000,0.400000000000000,0,0,21.000000000000000,false
AutoMediaItem.java,com.poupa.vinylmusicplayer.auto.AutoMediaItem$Builder,11,12,30,0,0,12,0,0.600000000000000,157,0.000000000000000,0,0.000000000000000,0.259700000000000,0,0,13.000000000000000,true
AutoMediaItem.java,com.poupa.vinylmusicplayer.auto.AutoMediaItem,2,2,4,1,0,2,0,2.000000000000000,10,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,4.000000000000000,true
AutoMusicProvider.java,com.poupa.vinylmusicplayer.auto.AutoMusicProvider$1,1,1,3,0,0,1,0,2.000000000000000,35,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,33.000000000000000,true
AutoMusicProvider.java,com.poupa.vinylmusicplayer.auto.AutoMusicProvider,8,28,78,0,0,28,3,0.357100000000000,709,1.000000000000000,0,0.000000000000000,0.416700000000000,0,0,87.375000000000000,true
BlacklistFolderChooserDialog.java,com.poupa.vinylmusicplayer.dialogs.BlacklistFolderChooserDialog$1,0,0,0,0,0,0,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,true
BlacklistFolderChooserDialog.java,com.poupa.vinylmusicplayer.dialogs.BlacklistFolderChooserDialog$FolderCallback,1,1,1,0,0,1,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,true
BlacklistFolderChooserDialog.java,com.poupa.vinylmusicplayer.dialogs.BlacklistFolderChooserDialog$FolderSorter,4,1,7,6,0,1,2,2.000000000000000,23,0.000000000000000,0,0.000000000000000,0.437500000000000,0,0,4.750000000000000,true
DeleteSongsDialog.java,com.poupa.vinylmusicplayer.dialogs.DeleteSongsDialog$DeleteSongsAsyncTask$LoadingInfo,2,1,3,0,0,1,2,0.833300000000000,35,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,13.500000000000000,true
DeleteSongsDialog.java,com.poupa.vinylmusicplayer.dialogs.DeleteSongsDialog$DeleteSongsAsyncTask,4,13,25,4,0,13,1,0.333300000000000,135,1.000000000000000,0,0.000000000000000,0.400000000000000,0,0,32.250000000000000,true
LyricsDialog.java,com.poupa.vinylmusicplayer.dialogs.LyricsDialog,3,9,15,3,0,9,3,2.000000000000000,47,0.000000000000000,0,0.000000000000000,0.444400000000000,0,0,14.666700000000000,false
ScanMediaFolderChooserDialog.java,com.poupa.vinylmusicplayer.dialogs.ScanMediaFolderChooserDialog$1,0,0,0,0,0,0,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,true
ScanMediaFolderChooserDialog.java,com.poupa.vinylmusicplayer.dialogs.ScanMediaFolderChooserDialog$FolderSorter,4,1,7,6,0,1,2,2.000000000000000,23,0.000000000000000,0,0.000000000000000,0.437500000000000,0,0,4.750000000000000,true
SleepTimerDialog.java,com.poupa.vinylmusicplayer.dialogs.SleepTimerDialog$1,4,5,16,4,0,5,3,0.666700000000000,55,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,12.500000000000000,true
SleepTimerDialog.java,com.poupa.vinylmusicplayer.dialogs.SleepTimerDialog$2,4,4,13,0,0,4,3,0.333300000000000,39,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,8.500000000000000,true
