javafile,classfile,WMC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LCO,DAM,MOA,MFA,CAM,IC,CBM,AMC,bug_prone
BugsTestingActivity.java,org.osmdroid.BugsTestingActivity,5,18,31,8,0,18,4,1.000000000000000,127,0.000000000000000,0,0.000000000000000,0.400000000000000,0,0,24.000000000000000,true
ExtraSamplesActivity.java,org.osmdroid.ExtraSamplesActivity,5,17,28,8,0,17,4,1.000000000000000,117,0.000000000000000,0,0.000000000000000,0.400000000000000,0,0,22.000000000000000,true
ISampleFactory.java,org.osmdroid.ISampleFactory,2,1,2,1,0,1,2,2.000000000000000,2,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,0.000000000000000,false
LicenseActivity.java,org.osmdroid.LicenseActivity,5,12,19,6,0,12,5,0.750000000000000,135,0.000000000000000,0,0.000000000000000,0.366700000000000,0,0,25.600000000000000,true
OsmApplication.java,org.osmdroid.OsmApplication$1,0,0,0,0,0,0,0,2.000000000000000,0,0.000000000000000,0,0.000000000000000,0.000000000000000,0,0,0.000000000000000,true
OsmApplication.java,org.osmdroid.OsmApplication$ErrorFileWriter,3,6,21,3,0,6,1,2.000000000000000,77,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,24.666700000000000,true
OsmApplication.java,org.osmdroid.OsmApplication$OsmUncaughtExceptionHandler,2,2,12,1,0,2,2,2.000000000000000,26,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,12.000000000000000,true
OsmApplication.java,org.osmdroid.OsmApplication,4,20,42,6,0,20,3,2.000000000000000,76,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,18.000000000000000,true
PreferenceActivity.java,org.osmdroid.PreferenceActivity$1$1$1,2,5,5,0,0,5,1,0.000000000000000,28,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,11.500000000000000,true
PreferenceActivity.java,org.osmdroid.PreferenceActivity$1$1,2,4,8,0,0,4,1,0.000000000000000,41,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,19.000000000000000,true
PreferenceActivity.java,org.osmdroid.PreferenceActivity$1,2,4,6,1,0,4,1,1.000000000000000,21,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,9.000000000000000,true
PreferenceActivity.java,org.osmdroid.PreferenceActivity$2,2,8,14,0,0,8,1,0.000000000000000,86,0.000000000000000,0,0.000000000000000,0.571400000000000,0,0,40.000000000000000,true
PreferenceActivity.java,org.osmdroid.PreferenceActivity$3,2,3,4,1,0,3,1,1.000000000000000,12,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,4.500000000000000,true
PreferenceActivity.java,org.osmdroid.PreferenceActivity$4,4,5,12,4,0,5,3,0.833300000000000,57,0.000000000000000,0,0.000000000000000,0.458300000000000,0,0,12.750000000000000,true
PreferenceActivity.java,org.osmdroid.PreferenceActivity$5,2,6,7,0,0,6,1,0.333300000000000,29,0.000000000000000,0,0.000000000000000,0.583300000000000,0,0,12.000000000000000,true
PreferenceActivity.java,org.osmdroid.PreferenceActivity$6,2,3,4,1,0,3,1,1.000000000000000,12,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,4.500000000000000,true
PreferenceActivity.java,org.osmdroid.PreferenceActivity,10,34,129,29,0,34,7,0.818900000000000,1033,0.000000000000000,0,0.000000000000000,0.250000000000000,0,0,99.600000000000000,true
StarterMapActivity.java,org.osmdroid.StarterMapActivity$1,2,5,5,0,0,5,1,0.000000000000000,16,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,6.500000000000000,true
StarterMapActivity.java,org.osmdroid.StarterMapActivity,6,16,30,3,0,16,4,0.800000000000000,103,1.000000000000000,0,0.000000000000000,0.300000000000000,0,0,15.666700000000000,true
StarterMapFragment.java,org.osmdroid.StarterMapFragment$1,2,8,15,0,0,8,1,0.000000000000000,59,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,28.000000000000000,true
StarterMapFragment.java,org.osmdroid.StarterMapFragment$2,2,3,3,1,0,3,1,1.000000000000000,10,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,3.500000000000000,true
StarterMapFragment.java,org.osmdroid.StarterMapFragment,15,40,101,0,0,40,14,0.968800000000000,465,1.000000000000000,0,0.000000000000000,0.191700000000000,0,0,28.933300000000000,true
Bug1322.java,org.osmdroid.bugtestfragments.Bug1322$1,5,3,6,10,0,3,4,1.000000000000000,28,0.000000000000000,0,0.000000000000000,0.560000000000000,0,0,4.400000000000000,false
Bug1322.java,org.osmdroid.bugtestfragments.Bug1322,5,11,24,10,0,11,4,1.000000000000000,195,0.125000000000000,0,0.000000000000000,0.600000000000000,0,0,36.400000000000000,false
Bug164EndlessOnScolls.java,org.osmdroid.bugtestfragments.Bug164EndlessOnScolls$1,3,5,6,0,0,5,2,0.000000000000000,42,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,12.666700000000000,true
Bug164EndlessOnScolls.java,org.osmdroid.bugtestfragments.Bug164EndlessOnScolls,7,16,31,7,0,16,4,0.750000000000000,135,0.000000000000000,0,0.000000000000000,0.261900000000000,0,0,17.714300000000000,true
Bug382Crash.java,org.osmdroid.bugtestfragments.Bug382Crash,3,8,25,3,0,8,2,1.000000000000000,164,1.000000000000000,0,0.000000000000000,1.000000000000000,0,0,53.000000000000000,true
Bug419Zoom.java,org.osmdroid.bugtestfragments.Bug419Zoom$1,2,1,4,0,0,1,1,0.000000000000000,13,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,5.000000000000000,true
Bug419Zoom.java,org.osmdroid.bugtestfragments.Bug419Zoom$2,2,3,8,0,0,3,1,0.000000000000000,23,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,10.000000000000000,true
Bug419Zoom.java,org.osmdroid.bugtestfragments.Bug419Zoom$3,2,3,6,0,0,3,1,0.000000000000000,19,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,8.000000000000000,true
Bug419Zoom.java,org.osmdroid.bugtestfragments.Bug419Zoom$4,2,3,8,0,0,3,1,0.000000000000000,23,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,10.000000000000000,true
Bug419Zoom.java,org.osmdroid.bugtestfragments.Bug419Zoom$5,2,3,6,0,0,3,1,0.000000000000000,19,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,8.000000000000000,true
Bug419Zoom.java,org.osmdroid.bugtestfragments.Bug419Zoom,11,20,41,0,0,20,5,0.975000000000000,269,0.000000000000000,0,0.000000000000000,0.227300000000000,0,0,23.090900000000000,true
Bug445Caching.java,org.osmdroid.bugtestfragments.Bug445Caching$1,2,4,7,0,0,4,1,0.000000000000000,21,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,9.000000000000000,true
Bug445Caching.java,org.osmdroid.bugtestfragments.Bug445Caching$2,2,4,7,0,0,4,1,0.000000000000000,21,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,9.000000000000000,true
Bug445Caching.java,org.osmdroid.bugtestfragments.Bug445Caching$3,2,4,6,0,0,4,1,0.000000000000000,17,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,7.000000000000000,true
Bug445Caching.java,org.osmdroid.bugtestfragments.Bug445Caching$4,2,4,11,0,0,4,1,0.000000000000000,34,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,15.000000000000000,true
Bug445Caching.java,org.osmdroid.bugtestfragments.Bug445Caching$5,2,1,4,0,0,1,1,0.000000000000000,19,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,7.500000000000000,true
Bug445Caching.java,org.osmdroid.bugtestfragments.Bug445Caching,15,17,50,55,0,17,4,0.942900000000000,482,0.800000000000000,0,0.000000000000000,0.523800000000000,0,0,30.800000000000000,true
Bug512CacheManagerWp.java,org.osmdroid.bugtestfragments.Bug512CacheManagerWp$1,2,6,6,0,0,6,1,0.000000000000000,34,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,14.500000000000000,true
Bug512CacheManagerWp.java,org.osmdroid.bugtestfragments.Bug512CacheManagerWp,12,21,37,48,0,21,11,0.818200000000000,253,0.000000000000000,0,0.000000000000000,0.226200000000000,0,0,19.666700000000000,true
Bug512Marker.java,org.osmdroid.bugtestfragments.Bug512Marker$1,2,2,4,0,0,2,1,0.000000000000000,14,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,5.500000000000000,false
Bug512Marker.java,org.osmdroid.bugtestfragments.Bug512Marker$2,2,7,20,0,0,7,1,0.000000000000000,71,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,34.000000000000000,false
Bug512Marker.java,org.osmdroid.bugtestfragments.Bug512Marker$3,2,2,4,0,0,2,1,0.000000000000000,14,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,5.500000000000000,false
Bug512Marker.java,org.osmdroid.bugtestfragments.Bug512Marker$4,2,4,9,0,0,4,1,0.000000000000000,30,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,13.500000000000000,false
Bug512Marker.java,org.osmdroid.bugtestfragments.Bug512Marker,12,12,30,8,0,12,5,0.909100000000000,115,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,8.500000000000000,false
Bug82WinDeath.java,org.osmdroid.bugtestfragments.Bug82WinDeath$MapOverlay,2,10,13,0,0,10,2,0.000000000000000,54,1.000000000000000,0,0.000000000000000,0.666700000000000,0,0,25.500000000000000,true
Bug82WinDeath.java,org.osmdroid.bugtestfragments.Bug82WinDeath,3,7,12,3,0,7,2,2.000000000000000,37,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,11.333300000000000,true
Bug846InfiniteRedrawLoop.java,org.osmdroid.bugtestfragments.Bug846InfiniteRedrawLoop,4,3,10,6,0,3,4,2.000000000000000,27,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,5.750000000000000,false
BugFactory.java,org.osmdroid.bugtestfragments.BugFactory,4,2,8,0,0,2,3,0.500000000000000,85,1.000000000000000,0,0.000000000000000,0.500000000000000,0,0,19.750000000000000,true
Issue1444.java,org.osmdroid.bugtestfragments.Issue1444$1,5,3,6,10,0,3,4,1.000000000000000,28,0.000000000000000,0,0.000000000000000,0.560000000000000,0,0,4.400000000000000,false
Issue1444.java,org.osmdroid.bugtestfragments.Issue1444,3,11,22,1,0,11,3,0.500000000000000,105,1.000000000000000,0,0.000000000000000,1.000000000000000,0,0,33.666700000000000,false
SampleBug57.java,org.osmdroid.bugtestfragments.SampleBug57,4,15,18,6,0,15,4,2.000000000000000,58,0.000000000000000,0,0.000000000000000,0.400000000000000,0,0,13.500000000000000,true
SampleBug57Step2.java,org.osmdroid.bugtestfragments.SampleBug57Step2,2,5,4,1,0,5,2,2.000000000000000,11,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,4.500000000000000,false
WeathForceActivity.java,org.osmdroid.bugtestfragments.WeathForceActivity$1,2,3,11,0,0,3,1,0.000000000000000,64,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,30.000000000000000,true
WeathForceActivity.java,org.osmdroid.bugtestfragments.WeathForceActivity,13,30,68,46,0,30,10,0.865400000000000,459,0.153800000000000,0,0.000000000000000,0.230800000000000,0,0,33.307700000000000,true
DataCountry.java,org.osmdroid.data.DataCountry,5,2,7,2,0,2,5,0.750000000000000,40,1.000000000000000,0,0.000000000000000,0.466700000000000,0,0,6.200000000000000,false
DataCountryLoader.java,org.osmdroid.data.DataCountryLoader,3,5,7,3,0,5,1,2.000000000000000,42,0.000000000000000,0,0.000000000000000,0.600000000000000,0,0,13.000000000000000,false
DataLoader.java,org.osmdroid.data.DataLoader,5,4,22,4,0,4,2,0.500000000000000,99,1.000000000000000,0,0.000000000000000,0.480000000000000,0,0,18.600000000000000,false
DataRegion.java,org.osmdroid.data.DataRegion,4,1,5,0,0,1,4,0.666700000000000,28,1.000000000000000,0,0.000000000000000,0.500000000000000,0,0,5.250000000000000,false
DataRegionLoader.java,org.osmdroid.data.DataRegionLoader,3,6,7,3,0,6,1,2.000000000000000,46,0.000000000000000,0,0.000000000000000,0.600000000000000,0,0,14.333300000000000,true
CacheAnalyzerActivity.java,org.osmdroid.debug.CacheAnalyzerActivity$1,2,7,7,0,0,7,1,0.000000000000000,41,0.000000000000000,0,0.000000000000000,0.600000000000000,0,0,18.500000000000000,true
CacheAnalyzerActivity.java,org.osmdroid.debug.CacheAnalyzerActivity$2,2,3,4,1,0,3,1,1.000000000000000,12,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,4.500000000000000,true
CacheAnalyzerActivity.java,org.osmdroid.debug.CacheAnalyzerActivity$3,2,3,6,0,0,3,1,0.000000000000000,29,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,12.500000000000000,true
CacheAnalyzerActivity.java,org.osmdroid.debug.CacheAnalyzerActivity,10,24,65,21,0,24,7,0.703700000000000,441,0.000000000000000,0,0.000000000000000,0.250000000000000,0,0,42.800000000000000,true
CacheAdapter.java,org.osmdroid.debug.browser.CacheAdapter,4,11,28,0,0,11,4,0.000000000000000,171,0.000000000000000,0,0.000000000000000,0.416700000000000,0,0,41.500000000000000,true
CacheBrowserActivity.java,org.osmdroid.debug.browser.CacheBrowserActivity,5,14,30,4,0,14,5,0.500000000000000,109,0.000000000000000,0,0.000000000000000,0.600000000000000,0,0,20.600000000000000,true
MapTileExt.java,org.osmdroid.debug.model.MapTileExt,1,0,2,0,0,0,1,2.000000000000000,7,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,3.000000000000000,true
SqlTileWriterExt.java,org.osmdroid.debug.model.SqlTileWriterExt$SourceCount,1,0,2,0,0,0,1,2.000000000000000,28,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,21.000000000000000,true
SqlTileWriterExt.java,org.osmdroid.debug.model.SqlTileWriterExt,4,4,22,6,0,4,4,2.000000000000000,138,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,33.500000000000000,true
FileDateUtil.java,org.osmdroid.debug.util.FileDateUtil,4,2,10,6,0,2,4,2.000000000000000,39,0.000000000000000,0,0.000000000000000,0.416700000000000,0,0,8.750000000000000,true
HumanTime.java,org.osmdroid.debug.util.HumanTime$1$1,5,1,9,4,0,1,4,0.250000000000000,47,0.500000000000000,0,0.000000000000000,0.600000000000000,0,0,8.000000000000000,false
HumanTime.java,org.osmdroid.debug.util.HumanTime$1,2,1,4,1,0,1,1,1.000000000000000,14,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,5.500000000000000,false
HumanTime.java,org.osmdroid.debug.util.HumanTime$State,4,1,7,4,0,1,2,0.916700000000000,56,0.250000000000000,4,0.866700000000000,0.444400000000000,1,1,12.000000000000000,false
HumanTime.java,org.osmdroid.debug.util.HumanTime,38,2,60,493,0,2,32,0.918900000000000,1075,1.000000000000000,0,0.000000000000000,0.138800000000000,1,1,27.078900000000000,false
DiagnosticsActivity.java,org.osmdroid.diag.DiagnosticsActivity,16,20,74,54,0,20,11,0.700000000000000,558,0.000000000000000,0,0.000000000000000,0.260400000000000,0,0,33.625000000000000,true
AboutFragment.java,org.osmdroid.intro.AboutFragment,4,8,12,6,0,8,4,2.000000000000000,35,0.000000000000000,0,0.000000000000000,0.450000000000000,0,0,7.750000000000000,true
DataUseWarning.java,org.osmdroid.intro.DataUseWarning,3,5,6,3,0,5,3,2.000000000000000,18,0.000000000000000,0,0.000000000000000,0.583300000000000,0,0,5.000000000000000,false
IntroActivity.java,org.osmdroid.intro.IntroActivity,6,18,32,5,0,18,6,0.733300000000000,208,0.000000000000000,0,0.000000000000000,0.400000000000000,0,0,32.666700000000000,true
IntroSliderAdapter.java,org.osmdroid.intro.IntroSliderAdapter,4,10,17,6,0,10,4,2.000000000000000,54,0.000000000000000,0,0.000000000000000,0.450000000000000,0,0,12.500000000000000,true
LogoFragment.java,org.osmdroid.intro.LogoFragment,2,5,4,1,0,5,2,2.000000000000000,13,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,5.500000000000000,false
PermissionsFragment.java,org.osmdroid.intro.PermissionsFragment,7,15,40,21,0,15,5,1.000000000000000,259,1.000000000000000,0,0.000000000000000,0.267900000000000,0,0,35.857100000000000,true
StorageAdapter.java,org.osmdroid.intro.StorageAdapter,5,7,21,4,0,7,5,0.250000000000000,138,0.000000000000000,0,0.000000000000000,0.314300000000000,0,0,26.400000000000000,true
StoragePreferenceFragment.java,org.osmdroid.intro.StoragePreferenceFragment$1,2,11,26,0,0,11,1,0.000000000000000,144,0.000000000000000,0,0.000000000000000,0.600000000000000,0,0,70.000000000000000,true
StoragePreferenceFragment.java,org.osmdroid.intro.StoragePreferenceFragment$2,2,3,4,1,0,3,1,1.000000000000000,12,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,4.500000000000000,true
StoragePreferenceFragment.java,org.osmdroid.intro.StoragePreferenceFragment$3,4,5,12,4,0,5,3,0.833300000000000,57,0.000000000000000,0,0.000000000000000,0.458300000000000,0,0,12.750000000000000,true
StoragePreferenceFragment.java,org.osmdroid.intro.StoragePreferenceFragment$4,2,9,20,0,0,9,1,0.000000000000000,80,0.000000000000000,0,0.000000000000000,0.600000000000000,0,0,38.000000000000000,true
StoragePreferenceFragment.java,org.osmdroid.intro.StoragePreferenceFragment$5,2,3,4,1,0,3,1,1.000000000000000,12,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,4.500000000000000,true
StoragePreferenceFragment.java,org.osmdroid.intro.StoragePreferenceFragment,8,28,60,22,0,28,6,0.857100000000000,281,0.000000000000000,0,0.000000000000000,0.291700000000000,0,0,33.250000000000000,true
TileSourceWarnings.java,org.osmdroid.intro.TileSourceWarnings,3,5,6,3,0,5,3,2.000000000000000,18,0.000000000000000,0,0.000000000000000,0.583300000000000,0,0,5.000000000000000,false
BaseActivity.java,org.osmdroid.model.BaseActivity,2,2,3,1,0,2,2,2.000000000000000,5,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,1.500000000000000,false
IBaseActivity.java,org.osmdroid.model.IBaseActivity,1,0,1,0,0,0,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
PositiveLongTextValidator.java,org.osmdroid.model.PositiveLongTextValidator,4,3,14,4,0,3,4,0.666700000000000,63,0.000000000000000,0,0.000000000000000,0.458300000000000,0,0,14.250000000000000,false
PositiveShortTextValidator.java,org.osmdroid.model.PositiveShortTextValidator,4,3,10,4,0,3,4,0.666700000000000,49,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,11.000000000000000,false
BaseSampleFragment.java,org.osmdroid.samplefragments.BaseSampleFragment$1,2,6,9,0,0,6,1,0.000000000000000,41,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,19.000000000000000,true
BaseSampleFragment.java,org.osmdroid.samplefragments.BaseSampleFragment$2,2,1,5,0,0,1,1,0.000000000000000,17,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,7.000000000000000,true
BaseSampleFragment.java,org.osmdroid.samplefragments.BaseSampleFragment$3,2,4,4,0,0,4,1,0.000000000000000,14,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,5.500000000000000,true
BaseSampleFragment.java,org.osmdroid.samplefragments.BaseSampleFragment$4,2,13,14,0,0,13,1,0.000000000000000,79,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,37.000000000000000,true
BaseSampleFragment.java,org.osmdroid.samplefragments.BaseSampleFragment$5,2,4,4,0,0,4,1,0.000000000000000,14,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,5.500000000000000,true
BaseSampleFragment.java,org.osmdroid.samplefragments.BaseSampleFragment,17,28,81,48,0,28,15,0.831300000000000,565,0.200000000000000,0,0.000000000000000,0.223200000000000,0,0,31.647100000000000,true
SampleFactory.java,org.osmdroid.samplefragments.SampleFactory,5,3,13,0,0,3,4,0.500000000000000,584,1.000000000000000,0,0.000000000000000,0.400000000000000,0,0,115.400000000000000,true
SampleTester.java,org.osmdroid.samplefragments.SampleTester,7,12,24,3,0,12,6,0.500000000000000,94,1.000000000000000,0,0.000000000000000,0.392900000000000,0,0,12.285700000000000,true
AnimatedMarkerHandler.java,org.osmdroid.samplefragments.animations.AnimatedMarkerHandler,6,17,26,13,0,17,6,0.900000000000000,108,0.000000000000000,0,0.000000000000000,0.333300000000000,0,0,16.666700000000000,true
AnimatedMarkerTimer.java,org.osmdroid.samplefragments.animations.AnimatedMarkerTimer$1$1,2,9,14,0,0,9,1,0.000000000000000,73,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,34.500000000000000,true
AnimatedMarkerTimer.java,org.osmdroid.samplefragments.animations.AnimatedMarkerTimer$1,2,7,11,0,0,7,1,0.000000000000000,55,0.000000000000000,0,0.750000000000000,0.750000000000000,0,0,26.000000000000000,true
AnimatedMarkerTimer.java,org.osmdroid.samplefragments.animations.AnimatedMarkerTimer,11,13,35,33,0,13,7,0.900000000000000,166,0.000000000000000,0,0.000000000000000,0.295500000000000,0,0,13.545500000000000,true
AnimatedMarkerTypeEvaluator.java,org.osmdroid.samplefragments.animations.AnimatedMarkerTypeEvaluator,6,18,28,11,0,18,6,0.866700000000000,124,0.000000000000000,0,0.000000000000000,0.333300000000000,0,0,19.166700000000000,true
AnimatedMarkerValueAnimator.java,org.osmdroid.samplefragments.animations.AnimatedMarkerValueAnimator,6,18,28,11,0,18,6,0.866700000000000,124,0.000000000000000,0,0.000000000000000,0.333300000000000,0,0,19.166700000000000,true
FastZoomSpeedAnimations.java,org.osmdroid.samplefragments.animations.FastZoomSpeedAnimations,6,12,21,13,0,12,6,2.000000000000000,80,0.000000000000000,0,0.000000000000000,0.333300000000000,0,0,12.333300000000000,true
GeoPointInterpolator.java,org.osmdroid.samplefragments.animations.GeoPointInterpolator$Linear,2,2,6,1,0,2,2,2.000000000000000,35,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,16.500000000000000,false
GeoPointInterpolator.java,org.osmdroid.samplefragments.animations.GeoPointInterpolator$LinearFixed,2,2,8,1,0,2,2,2.000000000000000,49,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,23.500000000000000,false
GeoPointInterpolator.java,org.osmdroid.samplefragments.animations.GeoPointInterpolator$Spherical,3,2,15,3,0,2,2,2.000000000000000,155,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,50.666700000000000,false
GeoPointInterpolator.java,org.osmdroid.samplefragments.animations.GeoPointInterpolator,1,1,1,0,0,1,1,2.000000000000000,1,0.000000000000000,0,0.000000000000000,1.000000000000000,0,0,0.000000000000000,false
MarkerAnimation.java,org.osmdroid.samplefragments.animations.MarkerAnimation$1,2,7,9,0,0,7,1,0.272700000000000,87,0.000000000000000,0,0.000000000000000,0.562500000000000,0,0,37.000000000000000,false
MarkerAnimation.java,org.osmdroid.samplefragments.animations.MarkerAnimation$2,2,6,7,0,0,6,1,0.000000000000000,45,0.000000000000000,0,0.000000000000000,0.583300000000000,0,0,19.000000000000000,false
MarkerAnimation.java,org.osmdroid.samplefragments.animations.MarkerAnimation$3,3,3,5,1,0,3,2,0.000000000000000,25,0.000000000000000,0,0.000000000000000,0.533300000000000,0,0,7.000000000000000,false
MarkerAnimation.java,org.osmdroid.samplefragments.animations.MarkerAnimation,4,16,22,6,0,16,4,2.000000000000000,103,0.000000000000000,0,0.000000000000000,0.650000000000000,0,0,24.750000000000000,false
MinMaxZoomLevel.java,org.osmdroid.samplefragments.animations.MinMaxZoomLevel,5,8,22,10,0,8,4,2.000000000000000,62,0.000000000000000,0,0.000000000000000,0.466700000000000,0,0,11.400000000000000,true
BookmarkDatastore.java,org.osmdroid.samplefragments.bookmarks.BookmarkDatastore,7,10,52,1,0,10,7,1.000000000000000,232,0.222200000000000,0,0.000000000000000,0.371400000000000,0,0,30.857100000000000,true
BookmarkSample.java,org.osmdroid.samplefragments.bookmarks.BookmarkSample$1,3,3,5,1,0,3,2,0.500000000000000,18,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,4.666700000000000,true
BookmarkSample.java,org.osmdroid.samplefragments.bookmarks.BookmarkSample$2,2,4,4,0,0,4,1,0.000000000000000,14,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,5.500000000000000,true
BookmarkSample.java,org.osmdroid.samplefragments.bookmarks.BookmarkSample$3,2,12,31,0,0,12,1,0.000000000000000,129,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,61.000000000000000,true
BookmarkSample.java,org.osmdroid.samplefragments.bookmarks.BookmarkSample$4$1$1,2,5,12,0,0,5,1,0.000000000000000,52,0.000000000000000,0,0.000000000000000,0.750000000000000,0,0,24.500000000000000,true
BookmarkSample.java,org.osmdroid.samplefragments.bookmarks.BookmarkSample$4$1,2,6,7,0,0,6,1,0.666700000000000,31,0.000000000000000,0,0.000000000000000,0.583300000000000,0,0,13.000000000000000,true
BookmarkSample.java,org.osmdroid.samplefragments.bookmarks.BookmarkSample$4$2,2,3,4,1,0,3,1,1.000000000000000,12,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,4.500000000000000,true
BookmarkSample.java,org.osmdroid.samplefragments.bookmarks.BookmarkSample$4,2,10,16,0,0,10,1,0.000000000000000,66,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,31.500000000000000,true
BookmarkSample.java,org.osmdroid.samplefragments.bookmarks.BookmarkSample$5$1,2,2,5,0,0,2,1,0.000000000000000,25,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,10.500000000000000,true
BookmarkSample.java,org.osmdroid.samplefragments.bookmarks.BookmarkSample$5,2,3,6,1,0,3,1,1.000000000000000,23,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,10.000000000000000,true
BookmarkSample.java,org.osmdroid.samplefragments.bookmarks.BookmarkSample$6,2,4,6,0,0,4,1,0.000000000000000,31,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,13.500000000000000,true
BookmarkSample.java,org.osmdroid.samplefragments.bookmarks.BookmarkSample$7,2,4,10,0,0,4,1,0.250000000000000,45,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,19.500000000000000,true
BookmarkSample.java,org.osmdroid.samplefragments.bookmarks.BookmarkSample,29,38,117,282,0,38,13,0.935700000000000,800,0.900000000000000,0,0.000000000000000,0.142900000000000,0,0,26.241400000000000,true
CacheImport.java,org.osmdroid.samplefragments.cache.CacheImport$1,2,3,5,0,0,3,1,0.000000000000000,23,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,10.000000000000000,true
CacheImport.java,org.osmdroid.samplefragments.cache.CacheImport$2,2,4,10,0,0,4,1,0.000000000000000,52,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,24.000000000000000,true
CacheImport.java,org.osmdroid.samplefragments.cache.CacheImport,5,19,25,6,0,19,5,0.875000000000000,103,0.000000000000000,0,0.000000000000000,0.360000000000000,0,0,19.200000000000000,true
CachePurge.java,org.osmdroid.samplefragments.cache.CachePurge$1,2,4,6,0,0,4,1,0.000000000000000,32,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,14.000000000000000,true
CachePurge.java,org.osmdroid.samplefragments.cache.CachePurge,5,15,21,8,0,15,5,1.000000000000000,80,0.000000000000000,0,0.000000000000000,0.360000000000000,0,0,14.800000000000000,true
SampleAlternateCacheDir.java,org.osmdroid.samplefragments.cache.SampleAlternateCacheDir,3,9,8,3,0,9,3,2.000000000000000,25,0.000000000000000,0,0.000000000000000,0.500000000000000,0,0,7.333300000000000,true
SampleCacheDelete.java,org.osmdroid.samplefragments.cache.SampleCacheDelete$1,2,3,6,0,0,3,1,0.000000000000000,21,0.000000000000000,0,0.000000000000000,0.625000000000000,0,0,9.000000000000000,true
SampleCacheDelete.java,org.osmdroid.samplefragments.cache.SampleCacheDelete$2,2,6,3,0,0,6,1,0.000000000000000,38,0.000000000000000,0,0.000000000000000,0.666700000000000,0,0,17.500000000000000,true
